c_of_o_id,plot_number,block_number,area_name,state,owner_name,date_registered,status
C-OF-O-8856DD63,173,17,Ikoyi,Lagos,Peter Akinwale,2011-09-24,Verified
C-OF-O-266C3B2F,65,3,Ikeja GRA,Lagos,Hope Ogunleye,2022-06-23,Verified
C-OF-O-69F2B97C,84,50,Surulere,Lagos,James Ekwueme,2015-08-14,Verified
C-OF-O-147B3AE2,98,24,Trans-Ekulu,Enugu,Gloria Balogun,2013-05-07,Verified
C-OF-O-3D4C0E93,143,15,Ikeja GRA,Lagos,Deborah Olawale,2014-12-18,Verified
C-OF-O-313FBEDE,149,30,Onitsha GRA,Anambra,Sarah Obi,2016-05-07,Verified
C-OF-O-80DA22BD,145,32,Amawbia,Anambra,Michael Nnamani,2016-01-07,Verified
C-OF-O-59E56DBF,158,33,Uwani,Enugu,Patience Oshodi,2012-03-08,Verified
C-OF-O-6D9F093F,179,31,Victoria Island,Lagos,Sarah Obi,2016-07-16,Verified
C-OF-O-A4701E49,10,20,Enugu-Ukwu,Anambra,Blessing Oshodi,2013-06-19,Verified
C-OF-O-8790C3B6,194,13,Surulere,Lagos,Faith Adetokunbo,2016-05-01,Verified
C-OF-O-7FBEE634,170,44,Victoria Island,Lagos,James Chukwu,2015-11-04,Verified
C-OF-O-C874B25F,175,17,Surulere,Lagos,Ruth Adetokunbo,2020-12-05,Verified
C-OF-O-358F3031,149,37,Surulere,Lagos,Paul Balogun,2019-05-14,Verified
C-OF-O-E29FB05B,148,5,New Haven,Enugu,James Ibrahim,2019-02-11,Verified
C-OF-O-ED91CF80,142,43,New Haven,Enugu,Deborah Okafor,2010-12-07,Verified
C-OF-O-C3548645,77,17,Ikeja GRA,Lagos,David Oshodi,2015-12-14,Verified
C-OF-O-6A8DE22B,58,20,GRA,Enugu,Comfort Adetokunbo,2014-03-29,Verified
C-OF-O-F88A18FD,114,12,Uwani,Enugu,Joshua Adetokunbo,2024-01-07,Verified
C-OF-O-794197CC,150,9,Onitsha GRA,Anambra,Joseph Ojo,2015-04-29,Verified
C-OF-O-A6760824,128,46,Surulere,Lagos,Faith Oyekan,2013-04-29,Verified
C-OF-O-507A2FEA,182,42,Victoria Island,Lagos,Victoria Ojo,2011-09-14,Verified
C-OF-O-3D797078,57,35,Onitsha GRA,Anambra,Simon Chukwu,2017-11-12,Verified
C-OF-O-CE7C8A17,82,27,New Haven,Enugu,Daniel Ojo,2017-03-30,Verified
C-OF-O-81821524,62,25,Ikeja GRA,Lagos,Gloria Ogunleye,2020-01-06,Verified
C-OF-O-1AFBB69E,35,49,Nnewi,Anambra,Samuel Uche,2012-04-19,Verified
C-OF-O-53AEA817,172,33,Trans-Ekulu,Enugu,Stephen Okafor,2020-04-09,Verified
C-OF-O-75E3AE20,28,28,Uwani,Enugu,Sarah Nnamani,2016-07-09,Verified
C-OF-O-B4C49B2C,96,34,Ikoyi,Lagos,Simon Abiola,2023-12-27,Verified
C-OF-O-7F28073A,195,35,Surulere,Lagos,Mark Olawale,2011-11-03,Verified
C-OF-O-E68851A3,38,45,Victoria Island,Lagos,Daniel Obasanjo,2020-06-08,Verified
C-OF-O-D0084EE9,145,8,Surulere,Lagos,Joseph Ogunleye,2021-12-01,Verified
C-OF-O-8F017D72,120,15,Amawbia,Anambra,Joy Adeyemi,2021-03-28,Verified
C-OF-O-CC9B3E15,86,39,Trans-Ekulu,Enugu,Cornelius Olawale,2020-09-06,Verified
C-OF-O-41F1927B,94,45,Uwani,Enugu,James Okafor,2017-12-20,Verified
C-OF-O-92B873BA,16,25,Amawbia,Anambra,Philip Chukwu,2023-12-27,Verified
C-OF-O-0EC911A0,7,27,GRA,Enugu,Nathaniel Abiola,2011-05-07,Verified
C-OF-O-B6A65B67,196,29,Uwani,Enugu,Victoria Adetokunbo,2017-10-12,Verified
C-OF-O-FFFD9507,182,30,Uwani,Enugu,Esther Oshodi,2024-04-19,Verified
C-OF-O-470B5A4B,111,5,Onitsha GRA,Anambra,James Nnamani,2014-05-15,Verified
C-OF-O-F446DA3D,113,16,Ikoyi,Lagos,Gabriel Ojo,2011-07-20,Verified
C-OF-O-78EE5CBD,141,24,Nnewi,Anambra,Michael Olawale,2020-12-26,Verified
C-OF-O-CD937054,90,1,New Haven,Enugu,Andrew Eze,2017-02-25,Verified
C-OF-O-6AE9DBBC,87,19,Onitsha GRA,Anambra,Peace Eze,2022-12-20,Verified
C-OF-O-FAFDAA1E,71,29,Ikeja GRA,Lagos,Benjamin Nnamani,2015-12-06,Verified
C-OF-O-35577ABC,78,25,Nnewi,Anambra,Agnes Oyekan,2017-04-21,Verified
C-OF-O-7D83131A,172,37,Onitsha GRA,Anambra,James Balogun,2019-09-17,Verified
C-OF-O-5EDB79FA,186,28,Ikoyi,Lagos,Sarah Nnamani,2012-12-20,Verified
C-OF-O-A612D778,48,47,Trans-Ekulu,Enugu,Peace Obi,2013-06-08,Verified
C-OF-O-24203F56,8,13,Nnewi,Anambra,Andrew Ogunleye,2013-08-04,Verified
C-OF-O-6B108BC9,123,46,New Haven,Enugu,Elizabeth Ibrahim,2012-10-08,Verified
C-OF-O-6B49C6FC,27,20,Ikeja GRA,Lagos,Mary Adeyemi,2012-10-30,Verified
C-OF-O-614587A4,31,46,Ikeja GRA,Lagos,Charity Ogunleye,2018-06-12,Verified
C-OF-O-A225A305,76,21,Ikoyi,Lagos,Charity Obasanjo,2017-09-02,Verified
C-OF-O-2007E1BA,126,23,Victoria Island,Lagos,Michael Okonkwo,2017-10-03,Verified
C-OF-O-73DC752E,25,36,Surulere,Lagos,Stephen Oshodi,2021-01-29,Verified
C-OF-O-D0B9BF5C,174,40,Victoria Island,Lagos,Elizabeth Olawale,2023-08-27,Verified
C-OF-O-64295962,95,9,Ikoyi,Lagos,Charity Okafor,2015-08-24,Verified
C-OF-O-DCFA1804,64,18,Ikeja GRA,Lagos,Samuel Balogun,2013-04-21,Verified
C-OF-O-F4C29926,22,43,GRA,Enugu,Deborah Balogun,2024-08-23,Verified
C-OF-O-8349FDA2,130,19,Ikeja GRA,Lagos,Esther Okonkwo,2012-07-29,Verified
C-OF-O-0E7BC2F6,17,39,Enugu-Ukwu,Anambra,Cornelius Okafor,2013-07-19,Verified
C-OF-O-0672617C,87,17,Surulere,Lagos,Michael Oyekan,2023-11-01,Verified
C-OF-O-CF630C49,112,19,Victoria Island,Lagos,Simon Nnamani,2017-08-22,Verified
C-OF-O-291EB58E,120,11,Enugu-Ukwu,Anambra,Mary Olawale,2016-09-03,Verified
C-OF-O-DC549E56,157,22,Enugu-Ukwu,Anambra,Elizabeth Chukwu,2013-07-16,Verified
C-OF-O-709D7347,6,22,Ikeja GRA,Lagos,Hope Ogunleye,2017-10-05,Verified
C-OF-O-EBF222B2,176,3,Amawbia,Anambra,Philip Uche,2013-06-01,Verified
C-OF-O-8B1BC3CD,71,29,Uwani,Enugu,Charity Akinwale,2023-03-05,Verified
C-OF-O-CC4CCDB3,118,22,Onitsha GRA,Anambra,Juliet Ibrahim,2022-07-27,Verified
C-OF-O-F683847E,61,29,GRA,Enugu,Emmanuel Obasanjo,2021-11-23,Verified
C-OF-O-188FCF49,165,19,Enugu-Ukwu,Anambra,Mark Abiola,2012-11-29,Verified
C-OF-O-453AF039,19,24,Surulere,Lagos,Esther Oshodi,2011-09-11,Verified
C-OF-O-7CD763B3,41,38,GRA,Enugu,Benjamin Okonkwo,2011-12-09,Verified
C-OF-O-6F3EB761,95,13,Nnewi,Anambra,Juliet Abiola,2022-03-09,Verified
C-OF-O-CC602254,182,42,GRA,Enugu,Angela Balogun,2011-06-19,Verified
C-OF-O-86D11CF2,140,4,New Haven,Enugu,Angela Oshodi,2011-04-11,Verified
C-OF-O-BD7FC00C,169,25,GRA,Enugu,Patience Eze,2023-09-03,Verified
C-OF-O-15A82819,107,1,New Haven,Enugu,Sarah Ibrahim,2018-04-13,Verified
C-OF-O-DD721598,132,32,Surulere,Lagos,Benjamin Okafor,2015-08-03,Verified
C-OF-O-7BF7F499,139,31,New Haven,Enugu,Nathaniel Akinwale,2016-04-14,Verified
C-OF-O-15341157,187,45,Surulere,Lagos,John Balogun,2022-12-31,Verified
C-OF-O-A0C07D28,132,39,Trans-Ekulu,Enugu,Cornelius Akinwale,2017-10-07,Verified
C-OF-O-1EF70602,163,18,Uwani,Enugu,Patience Okafor,2017-11-18,Verified
C-OF-O-830CA02A,13,45,GRA,Enugu,Agnes Olawale,2018-08-06,Verified
C-OF-O-558C78A9,81,23,Ikoyi,Lagos,Peace Nnamani,2016-09-01,Verified
C-OF-O-8676FCC8,181,14,Ikeja GRA,Lagos,Gabriel Obasanjo,2023-05-29,Verified
C-OF-O-213AA2A5,133,8,Onitsha GRA,Anambra,Michael Balogun,2018-12-21,Verified
C-OF-O-FFA9B53E,40,21,Trans-Ekulu,Enugu,Mark Chukwu,2021-11-08,Verified
C-OF-O-5ACCB21A,181,39,GRA,Enugu,Hope Ogunleye,2022-05-13,Verified
C-OF-O-50B711CF,92,2,Amawbia,Anambra,Paul Okafor,2024-04-20,Verified
C-OF-O-FA18A4DF,164,28,Ikeja GRA,Lagos,Cornelius Nnamani,2018-07-09,Verified
C-OF-O-9B68B128,85,50,Nnewi,Anambra,Daniel Akinwale,2020-04-14,Verified
C-OF-O-439FCC6A,31,3,Nnewi,Anambra,Hope Ibrahim,2017-06-06,Verified
C-OF-O-D065D31E,129,1,Surulere,Lagos,Comfort Ogunleye,2022-06-07,Verified
C-OF-O-4470A83E,80,36,Onitsha GRA,Anambra,Juliet Adetokunbo,2017-02-26,Verified
C-OF-O-A0BE1C20,69,35,Enugu-Ukwu,Anambra,Joshua Oyekan,2018-05-19,Under Dispute
C-OF-O-A5E62A38,199,44,Uwani,Enugu,Sarah Adetokunbo,2015-09-03,Verified
C-OF-O-4C0A0810,107,50,Ikoyi,Lagos,Michael Uche,2019-03-17,Verified
C-OF-O-41ECE5A8,145,34,Ikeja GRA,Lagos,Joshua Eze,2011-07-15,Verified
C-OF-O-6D9BAE9E,123,27,Amawbia,Anambra,Gabriel Oyekan,2022-01-18,Verified
C-OF-O-2BDDF209,70,9,Enugu-Ukwu,Anambra,Andrew Ekwueme,2014-10-03,Verified
C-OF-O-B752081E,164,30,Victoria Island,Lagos,Stephen Nnamani,2019-10-28,Verified
C-OF-O-D84234DD,64,43,New Haven,Enugu,Angela Abiola,2023-05-14,Verified
C-OF-O-0FB62873,79,16,Surulere,Lagos,Joseph Adetokunbo,2010-12-24,Verified
C-OF-O-0B1BA590,136,18,Surulere,Lagos,Victoria Ekwueme,2014-05-04,Revoked
C-OF-O-9601415E,171,20,Ikoyi,Lagos,Peter Ekwueme,2013-12-13,Verified
C-OF-O-CA29CE29,168,8,Ikoyi,Lagos,Mary Adetokunbo,2023-04-20,Verified
C-OF-O-B7C54E7E,84,50,Trans-Ekulu,Enugu,Peace Abiola,2019-10-24,Verified
C-OF-O-F40C410B,167,2,Surulere,Lagos,Simon Uche,2016-08-08,Verified
C-OF-O-77CD0AB0,20,35,Surulere,Lagos,Victoria Adetokunbo,2016-08-07,Verified
C-OF-O-6568647A,85,32,New Haven,Enugu,Patience Ogunleye,2019-06-16,Verified
C-OF-O-6C736426,52,34,Victoria Island,Lagos,Gloria Adeyemi,2023-07-21,Verified
C-OF-O-0B4CBDD6,169,44,New Haven,Enugu,Joy Ekwueme,2015-06-30,Verified
C-OF-O-8A90767B,167,23,Trans-Ekulu,Enugu,Benjamin Abiola,2012-06-23,Verified
C-OF-O-D4D4907B,24,19,Uwani,Enugu,Grace Akinwale,2013-02-03,Verified
C-OF-O-3A3F5256,54,21,Ikeja GRA,Lagos,Michael Adeyemi,2021-03-27,Verified
C-OF-O-1989ACA5,72,20,Amawbia,Anambra,Daniel Olawale,2015-07-31,Verified
C-OF-O-24022383,176,2,Surulere,Lagos,Blessing Oshodi,2021-07-16,Verified
C-OF-O-C3E06597,23,13,Enugu-Ukwu,Anambra,Daniel Abiola,2011-08-04,Verified
C-OF-O-DCD5E130,80,48,Ikeja GRA,Lagos,Joshua Ibrahim,2011-03-19,Verified
C-OF-O-CF93E716,150,44,Amawbia,Anambra,Stephen Nnamani,2021-01-19,Verified
C-OF-O-8DDD9474,134,33,Trans-Ekulu,Enugu,Stephen Ogunleye,2016-10-05,Verified
C-OF-O-E46BBB3B,120,31,Victoria Island,Lagos,Elizabeth Obi,2022-04-11,Verified
C-OF-O-96579035,39,27,Onitsha GRA,Anambra,Andrew Adeyemi,2019-01-24,Verified
C-OF-O-CA1A06A4,142,3,Ikeja GRA,Lagos,Nathaniel Eze,2016-08-08,Verified
C-OF-O-DEDAE11C,156,17,New Haven,Enugu,Victoria Obasanjo,2011-05-09,Verified
C-OF-O-F03BF739,47,18,Nnewi,Anambra,Benjamin Oyekan,2020-01-25,Verified
C-OF-O-9EC20C94,191,29,Victoria Island,Lagos,Daniel Akinwale,2017-09-18,Verified
C-OF-O-94E350EC,116,26,Uwani,Enugu,Patience Okafor,2021-12-04,Verified
C-OF-O-3F0FFB9A,134,5,Trans-Ekulu,Enugu,Peace Eze,2023-03-17,Verified
C-OF-O-905727A0,44,44,Nnewi,Anambra,Andrew Uche,2023-03-06,Verified
C-OF-O-F409646F,11,31,Amawbia,Anambra,Agnes Balogun,2019-09-04,Verified
C-OF-O-9EAF3178,99,45,Trans-Ekulu,Enugu,Gloria Abiola,2012-05-10,Verified
C-OF-O-59BAFEDA,54,42,Surulere,Lagos,Benjamin Abiola,2014-06-22,Verified
C-OF-O-FA9C2AC2,113,45,Amawbia,Anambra,Angela Oshodi,2023-05-02,Verified
C-OF-O-8AF9EF3E,148,47,Amawbia,Anambra,Gloria Ekwueme,2023-07-10,Verified
C-OF-O-4B6923C9,155,47,Ikeja GRA,Lagos,Stephen Akinwale,2020-11-20,Verified
C-OF-O-78C613F8,126,17,Surulere,Lagos,Charity Akinwale,2011-07-05,Verified
C-OF-O-AB666EE7,149,41,New Haven,Enugu,Daniel Adeyemi,2013-07-02,Verified
C-OF-O-08627BB9,101,12,Amawbia,Anambra,John Obi,2021-05-08,Verified
C-OF-O-9A4ED438,40,11,Ikoyi,Lagos,Joshua Uche,2016-07-26,Verified
C-OF-O-407F06C7,102,4,Victoria Island,Lagos,Joshua Obasanjo,2024-01-24,Verified
C-OF-O-A4246E47,44,45,Onitsha GRA,Anambra,Peace Eze,2014-12-06,Verified
C-OF-O-E93A258E,33,20,GRA,Enugu,Charity Obasanjo,2015-03-22,Verified
C-OF-O-BBB9B3C8,79,7,Uwani,Enugu,Patience Eze,2021-10-03,Verified
C-OF-O-D108A31D,3,29,New Haven,Enugu,Simon Ojo,2021-04-18,Verified
C-OF-O-FC37D8A4,149,42,Enugu-Ukwu,Anambra,Philip Abiola,2017-03-31,Verified
C-OF-O-F1B1CCCC,48,18,Onitsha GRA,Anambra,Ruth Obi,2018-11-08,Verified
C-OF-O-E2AA53F0,163,6,Surulere,Lagos,Ruth Oyekan,2022-05-02,Verified
C-OF-O-0138DF88,101,29,Trans-Ekulu,Enugu,Philip Adeyemi,2017-09-10,Verified
C-OF-O-391D3300,102,47,Enugu-Ukwu,Anambra,Grace Adeyemi,2022-04-11,Verified
C-OF-O-EC9FAE8A,42,21,Surulere,Lagos,Joseph Akinwale,2023-11-30,Verified
C-OF-O-E6486901,6,29,Victoria Island,Lagos,Peace Ekwueme,2013-04-29,Verified
C-OF-O-EDA3454F,93,12,Ikeja GRA,Lagos,Peace Adetokunbo,2020-04-27,Verified
C-OF-O-52F76670,102,31,Nnewi,Anambra,Gloria Abiola,2022-10-24,Verified
C-OF-O-ED683977,3,39,Trans-Ekulu,Enugu,Mark Adetokunbo,2023-05-29,Verified
C-OF-O-03DFC247,192,36,Enugu-Ukwu,Anambra,James Adeyemi,2010-12-14,Verified
C-OF-O-B5E72BE6,128,49,Uwani,Enugu,Andrew Nnamani,2012-10-25,Verified
C-OF-O-62F3FC85,56,12,Trans-Ekulu,Enugu,Esther Abiola,2012-08-15,Verified
C-OF-O-00E9CB65,144,37,GRA,Enugu,Joseph Abiola,2017-09-25,Verified
C-OF-O-659142F1,35,3,Nnewi,Anambra,Michael Adeyemi,2016-01-28,Verified
C-OF-O-B6E5B0EB,43,31,Onitsha GRA,Anambra,Charity Ojo,2015-01-02,Verified
C-OF-O-0AF090FD,74,37,Victoria Island,Lagos,Mary Okafor,2017-03-11,Verified
C-OF-O-8B955361,14,4,Trans-Ekulu,Enugu,Andrew Ibrahim,2024-04-13,Verified
C-OF-O-9C80A8E0,24,12,Amawbia,Anambra,Gabriel Akinwale,2013-11-29,Verified
C-OF-O-C93B981B,23,45,Amawbia,Anambra,Cornelius Ekwueme,2013-05-29,Verified
C-OF-O-1E21ABD1,177,19,Onitsha GRA,Anambra,Gloria Ekwueme,2017-10-24,Verified
C-OF-O-E1545C50,94,37,Uwani,Enugu,James Okonkwo,2015-12-20,Verified
C-OF-O-8DA15A97,183,37,Surulere,Lagos,Andrew Obasanjo,2012-09-17,Verified
C-OF-O-3D46C3DD,111,27,Ikoyi,Lagos,Michael Obasanjo,2012-09-14,Verified
C-OF-O-C63F3C74,191,30,Uwani,Enugu,James Oshodi,2020-05-18,Verified
C-OF-O-79274D1B,120,47,Ikeja GRA,Lagos,Sarah Oyekan,2012-10-24,Verified
C-OF-O-A72523F9,194,18,Onitsha GRA,Anambra,Mary Chukwu,2018-07-05,Verified
C-OF-O-3ABBE2CE,8,5,Ikeja GRA,Lagos,Paul Obi,2023-03-11,Verified
C-OF-O-272C5460,108,47,Surulere,Lagos,Hope Ibrahim,2016-03-18,Verified
C-OF-O-CD6954AA,49,41,Uwani,Enugu,Gabriel Okafor,2020-01-29,Verified
C-OF-O-6F152FC1,140,39,Uwani,Enugu,Samuel Ibrahim,2014-10-15,Verified
C-OF-O-86E4A4AE,173,18,Surulere,Lagos,Nathaniel Nnamani,2019-06-28,Verified
C-OF-O-278B826D,1,1,Uwani,Enugu,Nathaniel Okonkwo,2024-08-06,Verified
C-OF-O-9DABE02D,134,44,Ikoyi,Lagos,Andrew Okafor,2024-01-12,Verified
C-OF-O-0B170FA3,136,20,Uwani,Enugu,Victoria Oshodi,2020-05-17,Verified
C-OF-O-1B84E5C4,103,47,Enugu-Ukwu,Anambra,Gloria Balogun,2019-02-11,Verified
C-OF-O-71F5CC91,114,15,Trans-Ekulu,Enugu,Samuel Ogunleye,2012-07-01,Verified
C-OF-O-57181F85,112,48,Ikeja GRA,Lagos,Cornelius Balogun,2024-07-19,Verified
C-OF-O-72F608C2,41,15,Uwani,Enugu,Samuel Adetokunbo,2012-07-26,Verified
C-OF-O-6882DD38,157,34,GRA,Enugu,Mark Akinwale,2013-06-01,Verified
C-OF-O-11F62FE9,97,8,Ikoyi,Lagos,Philip Balogun,2018-09-13,Verified
C-OF-O-EF7D0478,23,9,Nnewi,Anambra,Daniel Olawale,2015-08-19,Verified
C-OF-O-C545CE1C,75,6,Ikeja GRA,Lagos,Patience Oyekan,2012-01-03,Verified
C-OF-O-D597F0BD,184,44,New Haven,Enugu,Joy Okonkwo,2023-06-24,Verified
C-OF-O-4C24B3C0,91,42,Nnewi,Anambra,Sarah Adetokunbo,2012-03-09,Verified
C-OF-O-4BBDFFC4,22,32,Trans-Ekulu,Enugu,Joy Olawale,2021-11-24,Verified
C-OF-O-E23DC0BA,132,25,Victoria Island,Lagos,Faith Ogunleye,2020-02-11,Verified
C-OF-O-8B335C40,54,38,Ikoyi,Lagos,Paul Ogunleye,2015-06-15,Verified
C-OF-O-78CD4256,7,24,Amawbia,Anambra,Grace Akinwale,2018-02-20,Verified
C-OF-O-771FA964,1,47,New Haven,Enugu,Hope Oyekan,2013-02-14,Verified
C-OF-O-32457914,8,15,Enugu-Ukwu,Anambra,Gabriel Ogunleye,2021-07-02,Pledged as Collateral
C-OF-O-6FC98639,177,28,Victoria Island,Lagos,John Ojo,2016-12-11,Verified
C-OF-O-A388361F,102,37,Onitsha GRA,Anambra,Elizabeth Ojo,2015-11-07,Revoked
C-OF-O-C8ACFC3E,79,15,Onitsha GRA,Anambra,David Ogunleye,2019-10-16,Verified
C-OF-O-37475399,60,18,Nnewi,Anambra,Cornelius Chukwu,2013-11-28,Verified
C-OF-O-C0014B42,43,38,Ikoyi,Lagos,Deborah Akinwale,2014-08-11,Verified
C-OF-O-B4CBCB32,133,39,GRA,Enugu,Charity Abiola,2019-03-17,Verified
C-OF-O-F8E2BC58,164,35,Ikoyi,Lagos,Blessing Ekwueme,2018-07-09,Under Dispute
C-OF-O-38C41FAD,73,17,Enugu-Ukwu,Anambra,Paul Ibrahim,2013-05-01,Verified
C-OF-O-43923AFB,70,18,Onitsha GRA,Anambra,Patience Okafor,2022-01-15,Verified
C-OF-O-CA782055,97,9,Uwani,Enugu,John Okonkwo,2018-01-14,Verified
C-OF-O-E045B9A5,44,49,Ikoyi,Lagos,Ruth Oyekan,2015-01-27,Verified
C-OF-O-B62FA8D5,56,43,New Haven,Enugu,Stephen Uche,2023-08-16,Verified
C-OF-O-2DC2BDE8,167,44,Ikoyi,Lagos,Elizabeth Balogun,2019-08-04,Verified
C-OF-O-FB47866A,167,36,Surulere,Lagos,Samuel Nnamani,2012-09-17,Verified
C-OF-O-4F55639E,125,45,GRA,Enugu,Patience Uche,2023-03-12,Verified
C-OF-O-0E2C0C41,48,36,Surulere,Lagos,Benjamin Okonkwo,2019-05-31,Verified
C-OF-O-6830EC78,69,35,Ikoyi,Lagos,Blessing Uche,2020-10-24,Verified
C-OF-O-127DEA74,73,10,Onitsha GRA,Anambra,Philip Akinwale,2013-07-31,Verified
C-OF-O-1FE517BB,96,18,GRA,Enugu,Peace Nnamani,2024-04-15,Verified
C-OF-O-ACEDF30E,100,24,Uwani,Enugu,Faith Balogun,2012-07-28,Verified
C-OF-O-9104CEAB,12,23,Surulere,Lagos,Joseph Oshodi,2023-12-16,Verified
C-OF-O-2A0E8541,63,28,Surulere,Lagos,Elizabeth Ekwueme,2014-06-07,Verified
C-OF-O-783CFC73,132,1,Nnewi,Anambra,Blessing Oyekan,2017-05-26,Verified
C-OF-O-D504AF55,90,5,Uwani,Enugu,Juliet Adetokunbo,2011-12-08,Verified
C-OF-O-5A4F419A,144,15,Surulere,Lagos,Philip Eze,2014-11-30,Verified
C-OF-O-8C77615D,194,20,Uwani,Enugu,Joy Ibrahim,2012-11-05,Verified
C-OF-O-0811311A,185,7,Enugu-Ukwu,Anambra,Peace Abiola,2022-05-30,Verified
C-OF-O-2A2E3378,152,38,Nnewi,Anambra,Michael Adeyemi,2014-05-11,Verified
C-OF-O-8E72EA95,136,49,Onitsha GRA,Anambra,Elizabeth Abiola,2013-11-13,Verified
C-OF-O-46E2E9C9,175,11,Enugu-Ukwu,Anambra,Simon Okonkwo,2011-12-03,Verified
C-OF-O-4BFE1FE1,9,23,Uwani,Enugu,Sarah Ekwueme,2011-04-03,Verified
C-OF-O-F86893D7,125,45,Onitsha GRA,Anambra,Grace Akinwale,2021-10-20,Verified
C-OF-O-DAF94AD5,199,13,Amawbia,Anambra,Daniel Ojo,2019-12-27,Verified
C-OF-O-BA742DF4,7,30,Nnewi,Anambra,James Okonkwo,2018-07-31,Verified
C-OF-O-06E9E59B,113,26,Trans-Ekulu,Enugu,Juliet Oshodi,2022-12-16,Verified
C-OF-O-B55AE1C0,140,47,Ikoyi,Lagos,Daniel Ogunleye,2016-03-18,Verified
C-OF-O-15CB5A96,27,48,Nnewi,Anambra,Esther Olawale,2012-05-27,Verified
C-OF-O-57EC31DB,70,5,Uwani,Enugu,Charity Ekwueme,2017-12-17,Verified
C-OF-O-0A7CD5DA,27,21,Ikeja GRA,Lagos,Angela Olawale,2019-04-08,Verified
C-OF-O-41CC3190,85,32,Onitsha GRA,Anambra,Charity Adetokunbo,2014-12-05,Verified
C-OF-O-374CC144,40,28,Nnewi,Anambra,Gloria Balogun,2015-03-29,Verified
C-OF-O-CB0B2A66,26,14,Victoria Island,Lagos,Gloria Chukwu,2013-06-09,Verified
C-OF-O-BCE7D9AA,18,28,Amawbia,Anambra,David Chukwu,2014-08-28,Verified
C-OF-O-9AC2BD7F,71,12,Nnewi,Anambra,Nathaniel Chukwu,2016-10-25,Verified
C-OF-O-E94AF431,111,32,New Haven,Enugu,Patience Obasanjo,2016-01-30,Verified
C-OF-O-35F80554,41,25,Amawbia,Anambra,Emmanuel Eze,2012-05-31,Verified
C-OF-O-FA98BFD5,97,39,Victoria Island,Lagos,Sarah Okafor,2019-12-19,Verified
C-OF-O-3E14A3AD,35,32,Amawbia,Anambra,Comfort Adetokunbo,2014-06-16,Verified
C-OF-O-9AB0596F,90,46,Ikoyi,Lagos,Agnes Uche,2012-08-04,Verified
C-OF-O-B6C7595A,53,10,Victoria Island,Lagos,Benjamin Nnamani,2016-02-29,Verified
C-OF-O-FD156CD2,54,29,Nnewi,Anambra,Comfort Uche,2024-05-31,Verified
C-OF-O-38679399,194,7,Ikeja GRA,Lagos,Angela Obi,2020-07-04,Verified
C-OF-O-0C5FC6DF,73,9,Amawbia,Anambra,James Eze,2021-04-01,Verified
C-OF-O-F6DF8E5A,24,18,Ikeja GRA,Lagos,Philip Abiola,2023-09-10,Verified
C-OF-O-03CDAFD8,32,38,Onitsha GRA,Anambra,Mark Balogun,2016-01-19,Verified
C-OF-O-FB2894C9,74,23,Surulere,Lagos,Cornelius Adeyemi,2010-12-29,Verified
C-OF-O-ACBF997C,192,7,Ikoyi,Lagos,Joseph Abiola,2016-01-28,Verified
C-OF-O-DF6E7A0A,85,10,GRA,Enugu,Paul Oyekan,2014-09-27,Verified
C-OF-O-CBADAE8C,15,22,Enugu-Ukwu,Anambra,Blessing Adeyemi,2016-02-10,Verified
C-OF-O-50B454FB,192,39,Uwani,Enugu,Hope Obi,2019-09-23,Verified
C-OF-O-54E64F17,108,39,Surulere,Lagos,Gabriel Ekwueme,2023-11-18,Verified
C-OF-O-63252D52,122,10,Onitsha GRA,Anambra,Benjamin Obasanjo,2020-04-26,Verified
C-OF-O-5959F5C9,3,38,New Haven,Enugu,Joseph Eze,2019-12-15,Verified
C-OF-O-7B9942E1,27,18,GRA,Enugu,Grace Okonkwo,2017-04-16,Verified
C-OF-O-744B9A53,99,6,Enugu-Ukwu,Anambra,Victoria Eze,2021-07-20,Verified
C-OF-O-7FDF4455,140,7,Ikoyi,Lagos,Paul Ogunleye,2015-11-28,Verified
C-OF-O-CB4EAF7A,116,40,Uwani,Enugu,Mark Uche,2021-02-27,Verified
C-OF-O-D8F59384,15,8,New Haven,Enugu,Gabriel Eze,2015-05-15,Verified
C-OF-O-44958439,142,39,Enugu-Ukwu,Anambra,Charity Eze,2019-04-13,Verified
C-OF-O-9D8490AB,125,21,Ikoyi,Lagos,Nathaniel Okafor,2012-03-09,Verified
C-OF-O-94B50771,164,48,Trans-Ekulu,Enugu,Blessing Obasanjo,2018-12-19,Verified
C-OF-O-858A6948,17,43,Enugu-Ukwu,Anambra,Peace Ekwueme,2015-09-15,Verified
C-OF-O-C318D98B,5,18,New Haven,Enugu,Faith Uche,2019-12-30,Verified
C-OF-O-4286D9A8,25,28,Onitsha GRA,Anambra,Peace Obasanjo,2023-07-29,Verified
C-OF-O-7B80B97A,139,30,New Haven,Enugu,Victoria Nnamani,2023-03-10,Verified
C-OF-O-512193B1,32,9,Amawbia,Anambra,Mary Akinwale,2020-06-14,Verified
C-OF-O-97777F34,114,42,Ikeja GRA,Lagos,Benjamin Okafor,2015-03-24,Verified
C-OF-O-18AFAB66,142,17,Victoria Island,Lagos,Gloria Balogun,2012-11-11,Verified
C-OF-O-F377F070,35,26,Nnewi,Anambra,Victoria Obasanjo,2018-10-13,Verified
C-OF-O-E9F2F85E,179,1,GRA,Enugu,Faith Oshodi,2017-10-27,Verified
